"cohort","revenue","cohort_amount","arppu","max_date","lifetime","arppu_per_month"
2025-07-01,69183,71,974,2026-04-28,10.03,97.11
2025-08-01,59012,76,776,2026-04-28,9.00,86.22
2025-09-01,75323,82,918,2026-04-28,7.97,115.18
2025-10-01,72852,87,837,2026-04-28,6.97,120.09
2025-11-01,62737,77,814,2026-04-28,5.93,137.27
2025-12-01,64375,83,775,2026-04-28,4.93,157.20
2026-01-01,112717,127,887,2026-04-28,3.90,227.44
2026-02-01,115275,124,929,2026-04-28,2.87,323.69
2026-03-01,203921,219,931,2026-04-28,1.93,482.38
